pattern_kind,pattern,discovery_occurrences,discovery_documents_with,discovery_doc_prevalence,discovery_per_10k_sentences,validation_occurrences,validation_documents_with,validation_doc_prevalence,validation_per_10k_sentences,human_occurrences,human_documents_with,human_doc_prevalence,human_per_10k_sentences,hc3_ai_occurrences,hc3_ai_documents_with,hc3_ai_doc_prevalence,hc3_ai_per_10k_sentences,hc3_human_occurrences,hc3_human_documents_with,hc3_human_doc_prevalence,hc3_human_per_10k_sentences,lift_discovery_vs_human,lift_validation_vs_human,lift_hc3_ai_vs_hc3_human,elevated_in_discovery,replicated,verdict,candidate_set
ngram,as well as,23,20,0.0556,52.898,23,20,0.0556,41.727,29,26,0.0722,56.907,17,13,0.0813,147.698,9,8,0.05,83.643,0.9336,0.7365,1.7222,False,False,NOT_ELEVATED,exploratory
ngram,well as,23,20,0.0556,52.898,23,20,0.0556,41.727,29,26,0.0722,56.907,17,13,0.0813,147.698,9,8,0.05,83.643,0.9336,0.7365,1.7222,False,False,NOT_ELEVATED,exploratory
ngram,1 tablespoon,33,18,0.05,75.897,37,26,0.0722,67.126,47,30,0.0833,92.229,0,0,0.0,0.0,0,0,0.0,0.0,0.8266,0.7299,0.9349,False,False,NOT_ELEVATED,exploratory
ngram,to make,60,43,0.1194,137.994,40,38,0.1056,72.569,52,41,0.1139,102.041,9,7,0.0437,78.193,8,6,0.0375,74.349,1.3506,0.7132,1.0449,False,False,NOT_ELEVATED,exploratory
ngram,known as,24,21,0.0583,55.198,16,16,0.0444,29.028,21,20,0.0556,41.209,19,18,0.1125,165.074,10,9,0.0563,92.937,1.3355,0.7095,1.7362,False,False,NOT_ELEVATED,exploratory
ngram,the top,28,23,0.0639,64.397,18,17,0.0472,32.656,27,19,0.0528,52.983,1,1,0.0063,8.688,4,2,0.0125,37.175,1.2146,0.622,0.3116,False,False,NOT_ELEVATED,exploratory
ngram,able to,19,18,0.05,43.698,23,19,0.0528,41.727,35,26,0.0722,68.681,34,29,0.1812,295.395,6,5,0.0312,55.762,0.6438,0.612,4.9621,False,False,NOT_ELEVATED,exploratory
ngram,as well,29,26,0.0722,66.697,27,22,0.0611,48.984,42,35,0.0972,82.418,19,15,0.0938,165.074,14,11,0.0688,130.112,0.8135,0.5982,1.2573,False,False,NOT_ELEVATED,exploratory
ngram,2 cups,37,28,0.0778,85.097,26,23,0.0639,47.17,41,25,0.0694,80.455,0,0,0.0,0.0,0,0,0.0,0.0,1.059,0.5904,0.9349,False,False,NOT_ELEVATED,exploratory
ngram,a few,22,21,0.0583,50.598,24,24,0.0667,43.541,38,30,0.0833,74.568,15,14,0.0875,130.321,5,5,0.0312,46.468,0.6849,0.5883,2.6347,False,False,NOT_ELEVATED,exploratory
ngram,one of,56,49,0.1361,128.795,36,32,0.0889,65.312,61,52,0.1444,119.702,15,14,0.0875,130.321,13,10,0.0625,120.818,1.0767,0.5487,1.0734,False,False,NOT_ELEVATED,exploratory
ngram,during the,30,27,0.075,68.997,14,13,0.0361,25.399,24,16,0.0444,47.096,3,3,0.0187,26.064,5,5,0.0312,46.468,1.459,0.5472,0.5949,False,False,NOT_ELEVATED,exploratory
ngram,a small,22,20,0.0556,50.598,23,22,0.0611,41.727,42,31,0.0861,82.418,2,2,0.0125,17.376,1,1,0.0063,9.294,0.6205,0.5112,1.5582,False,False,NOT_ELEVATED,exploratory
ngram,back to,21,18,0.05,48.298,13,9,0.025,23.585,33,24,0.0667,64.757,6,6,0.0375,52.129,1,1,0.0063,9.294,0.7522,0.3726,4.0512,False,False,NOT_ELEVATED,exploratory
reframe_isnt_its,isn't <X> it's <Y>,1,1,0.0028,2.3,3,3,0.0083,5.443,0,0,0.0,0.0,1,1,0.0063,8.688,0,0,0.0,0.0,3.516,6.4718,2.8047,True,False,FAILED_VALIDATION,structural_exhaustive
not_only_but_also,not only <X> but also <Y>,7,7,0.0194,16.099,11,11,0.0306,19.956,4,4,0.0111,7.849,1,1,0.0063,8.688,0,0,0.0,0.0,1.9533,2.3627,2.8047,True,False,FAILED_VALIDATION,structural_exhaustive
contrast_not_but,not <X> but <Y>,22,20,0.0556,50.598,49,42,0.1167,88.897,35,29,0.0806,68.681,4,4,0.025,34.752,8,7,0.0437,74.349,0.7428,1.2892,0.4949,False,False,NOT_ELEVATED,structural_exhaustive
